trip_id,region,requested_at,distance_km,demand_index,surge_multiplier,predicted_eta_minutes,actual_eta_minutes,base_fare_usd,final_fare_usd,driver_available,converted
5513,West,2026-06-19T09:22:00,6.96,2.43,1.86,20.0,19.2,13.89,25.84,0,0
5514,East,2026-06-29T18:07:00,3.18,3.04,2.23,7.8,8.8,8.79,19.59,1,0
5515,West,2026-07-07T17:34:00,7.13,2.86,2.12,24.3,23.5,14.13,29.95,0,0
5516,West,2026-06-26T17:40:00,6.04,3.17,2.3,16.4,19.8,12.65,29.09,1,0
5517,West,2026-07-28T17:55:00,8.16,1.82,1.49,21.7,24.3,15.52,23.13,0,0
5518,Downtown,2026-07-30T18:45:00,6.84,2.57,1.94,22.2,26.2,13.74,26.65,1,0
5519,North,2026-06-18T07:46:00,8.65,1.58,1.35,22.1,23.9,16.18,21.84,1,1
5520,Downtown,2026-06-13T07:38:00,8.57,2.64,1.98,25.3,26.9,16.07,31.81,0,0
5521,North,2026-07-23T18:49:00,0.8,2.38,1.83,2,5.1,5.58,10.21,0,0
5522,West,2026-06-18T18:33:00,3.21,2.36,1.81,8.8,11.0,8.83,15.98,1,0
5523,West,2026-06-26T02:06:00,10.61,1.46,1.28,26.5,22.7,18.83,24.1,1,1
5524,East,2026-07-27T09:19:00,8.29,2.98,2.19,20.7,21.4,15.69,34.37,1,0
5525,Downtown,2026-06-03T16:04:00,3.33,1.34,1.2,8.0,10.5,9.0,10.79,1,1
5526,South,2026-06-01T19:57:00,5.18,2.88,2.13,13.4,14.2,11.49,24.47,1,1
5527,South,2026-07-03T09:13:00,9.43,2.78,2.07,26.5,29.0,17.23,35.66,1,1
5528,South,2026-07-05T01:18:00,9.24,1.47,1.28,17.6,18.8,16.97,21.73,1,0
5529,West,2026-06-01T17:32:00,8.24,2.46,1.87,25.2,27.1,15.62,29.2,1,1
5530,East,2026-07-20T08:25:00,15.88,2.89,2.13,40.1,42.7,25.93,55.24,0,0
5531,East,2026-07-14T00:33:00,10.01,1.46,1.28,24.4,23.1,18.01,23.06,0,0
5532,Downtown,2026-07-08T17:46:00,4.53,1.85,1.51,12.7,16.0,10.62,16.04,1,1
5533,North,2026-07-05T20:10:00,7.01,1.38,1.23,15.0,13.1,13.96,17.18,1,1
5534,South,2026-06-28T07:33:00,9.11,1.72,1.43,28.5,29.4,16.8,24.02,1,1
5535,North,2026-07-29T19:27:00,1.58,2.89,2.13,4.7,8.5,6.63,14.12,1,1
5536,Downtown,2026-06-12T08:53:00,10.7,3.05,2.23,18.9,22.2,18.94,42.24,1,0
5537,Downtown,2026-06-22T19:36:00,4.91,2.78,2.07,13.1,17.6,11.13,23.04,1,1
5538,North,2026-06-14T09:19:00,7.48,1.44,1.27,22.8,24.8,14.6,18.54,1,1
5539,North,2026-06-16T09:52:00,5.41,2.18,1.71,14.3,15.8,11.8,20.18,1,1
5540,West,2026-06-20T19:14:00,0.8,3.02,2.21,2,5.0,5.58,12.33,1,1
5541,Downtown,2026-07-12T07:39:00,6.91,1.95,1.57,17.1,16.4,13.82,21.7,1,1
5542,North,2026-06-06T17:54:00,4.35,2.36,1.82,9.6,14.4,10.37,18.88,1,1
5543,East,2026-06-09T07:22:00,4.95,1.64,1.39,8.8,11.0,11.19,15.55,1,1
5544,Downtown,2026-06-15T13:01:00,10.89,1.3,1.18,27.0,27.7,19.21,22.66,1,1
5545,Downtown,2026-07-25T18:56:00,1.43,1.57,1.34,3.8,5.8,6.43,8.62,1,1
5546,East,2026-07-16T07:46:00,12.61,2.46,1.88,33.8,33.6,21.52,40.46,1,1
5547,North,2026-06-03T11:21:00,10.17,1.5,1.3,27.3,28.8,18.24,23.71,1,1
5548,North,2026-07-11T07:09:00,12.86,2.67,2.0,37.4,38.3,21.86,43.72,1,1
5549,West,2026-07-24T19:56:00,6.18,2.31,1.79,20.0,20.2,12.85,22.99,0,0
5550,East,2026-06-30T09:14:00,4.88,2.46,1.88,13.0,13.5,11.09,20.85,1,1
5551,South,2026-06-30T07:58:00,10.38,2.85,2.11,21.2,24.0,18.52,39.07,1,1
5552,East,2026-06-25T07:05:00,5.19,2.66,2.0,14.9,15.1,11.51,23.02,1,1
5553,West,2026-06-11T18:06:00,4.03,2.99,2.2,11.7,13.0,9.95,21.88,0,0
5554,Downtown,2026-07-23T17:29:00,12.27,2.48,1.89,28.7,32.2,21.06,39.8,1,1
5555,West,2026-06-21T21:39:00,1.89,0.66,1.0,5.4,5.6,7.05,7.05,1,1
5556,North,2026-07-23T19:22:00,4.89,1.88,1.53,12.0,16.7,11.1,16.98,0,0
5557,North,2026-06-09T19:29:00,3.18,2.77,2.06,8.6,7.8,8.79,18.11,1,1
5558,Downtown,2026-07-21T18:35:00,9.16,1.94,1.56,24.5,22.2,16.86,26.31,1,0
5559,West,2026-07-19T17:03:00,3.96,3.07,2.24,10.5,13.1,9.85,22.06,0,0
5560,Downtown,2026-06-12T18:11:00,7.51,2.35,1.81,21.9,20.8,14.65,26.51,1,1
5561,East,2026-06-04T17:22:00,9.99,2.79,2.08,23.5,29.9,17.99,37.43,1,1
5562,South,2026-06-19T19:18:00,4.79,1.67,1.4,11.9,13.9,10.97,15.36,0,0
5563,Downtown,2026-07-27T08:00:00,3.35,2.0,1.6,9.4,12.0,9.03,14.44,1,1
5564,North,2026-07-02T08:09:00,7.57,2.8,2.08,16.9,21.7,14.72,30.62,1,1
5565,East,2026-07-16T15:42:00,10.82,1.54,1.32,29.8,30.8,19.11,25.22,1,1
5566,East,2026-06-06T22:21:00,8.66,1.11,1.07,21.7,23.3,16.19,17.32,0,0
5567,North,2026-06-18T03:35:00,0.94,0.6,1.0,2.0,2,5.77,5.77,1,1
5568,West,2026-07-22T16:33:00,8.5,0.94,1.0,23.1,27.3,15.98,15.98,1,1
5569,Downtown,2026-07-30T07:03:00,6.41,1.59,1.35,15.2,12.7,13.15,17.76,1,1
5570,North,2026-06-28T07:40:00,12.68,2.72,2.03,40.6,39.7,21.62,43.9,0,0
5571,Downtown,2026-06-25T21:34:00,3.27,1.39,1.23,7.4,9.9,8.92,10.97,1,1
5572,West,2026-06-20T09:28:00,8.04,2.2,1.72,20.3,22.1,15.36,26.41,1,1
5573,South,2026-06-30T08:01:00,8.18,2.19,1.71,23.8,28.0,15.54,26.57,0,0
5574,East,2026-06-06T18:19:00,8.18,2.4,1.84,13.8,13.9,15.54,28.6,0,0
5575,South,2026-06-28T17:09:00,5.48,1.85,1.51,15.8,19.5,11.9,17.96,0,0
5576,East,2026-07-16T22:59:00,7.05,1.05,1.03,21.4,17.3,14.01,14.43,1,1
5577,South,2026-07-18T08:39:00,13.17,2.73,2.04,34.5,34.1,22.27,45.44,0,0
5578,West,2026-07-23T19:00:00,6.79,2.94,2.17,18.3,22.6,13.67,29.66,1,0
5579,West,2026-06-25T09:17:00,6.25,1.68,1.41,17.6,20.4,12.94,18.25,1,1
5580,East,2026-07-14T00:41:00,9.37,0.74,1.0,25.3,22.1,17.15,17.15,1,1
5581,Downtown,2026-06-17T20:51:00,4.09,1.57,1.34,8.8,10.1,10.02,13.43,0,0
5582,East,2026-06-06T23:32:00,5.57,0.85,1.0,12.7,13.9,12.02,12.02,1,1
5583,East,2026-07-22T08:51:00,6.42,1.81,1.49,18.1,17.3,13.17,19.62,0,0
5584,South,2026-07-29T08:08:00,8.86,2.91,2.15,23.3,25.6,16.46,35.4,1,1
5585,Downtown,2026-06-20T20:20:00,3.33,1.2,1.12,9.4,10.9,9.0,10.08,1,1
5586,East,2026-06-19T00:18:00,8.87,1.24,1.14,27.7,25.2,16.47,18.78,1,1
5587,West,2026-07-16T18:40:00,7.81,1.55,1.33,18.2,20.4,15.05,20.01,0,0
5588,South,2026-06-22T16:34:00,9.45,1.28,1.17,21.3,19.3,17.26,20.2,1,1
5589,East,2026-06-26T18:53:00,9.72,1.47,1.28,25.3,24.2,17.62,22.56,1,1
5590,Downtown,2026-06-01T18:43:00,1.02,2.55,1.93,3.0,7.0,5.87,11.33,1,0
5591,East,2026-06-13T19:18:00,6.19,1.52,1.31,19.9,23.3,12.85,16.83,1,1
5592,East,2026-07-22T18:56:00,7.34,3.02,2.21,20.4,21.9,14.41,31.85,1,1
5593,North,2026-07-12T17:41:00,9.47,2.81,2.09,27.3,25.8,17.29,36.14,1,0
5594,Downtown,2026-06-29T07:47:00,9.66,1.94,1.57,20.3,22.6,17.55,27.55,0,0
5595,North,2026-06-04T07:24:00,3.35,1.84,1.51,8.4,7.7,9.02,13.62,0,0
5596,Downtown,2026-06-07T18:11:00,6.54,1.88,1.53,15.9,20.3,13.32,20.39,0,0
5597,Downtown,2026-07-28T18:33:00,7.22,1.95,1.57,20.9,23.5,14.25,22.37,1,1
5598,East,2026-07-28T07:59:00,11.24,1.75,1.45,28.0,29.8,19.67,28.53,1,1
5599,West,2026-06-15T21:29:00,10.84,1.24,1.15,25.0,22.2,19.13,22.0,1,1
5600,North,2026-06-23T07:50:00,0.8,2.15,1.69,2.4,2,5.58,9.43,1,0
5601,North,2026-07-07T09:46:00,4.28,1.86,1.52,12.0,11.5,10.27,15.61,1,1
5602,West,2026-07-12T09:28:00,6.23,2.22,1.73,16.7,15.6,12.91,22.33,1,1
5603,East,2026-07-15T17:41:00,13.3,2.63,1.98,33.0,34.7,22.45,44.45,1,1
5604,North,2026-07-06T21:31:00,5.03,1.5,1.3,10.8,10.7,11.29,14.67,1,0
5605,South,2026-07-04T12:39:00,8.53,0.64,1.0,18.1,17.8,16.02,16.02,1,1
5606,South,2026-06-19T12:19:00,2.6,1.57,1.34,8.7,8.5,8.02,10.74,1,1
5607,North,2026-07-10T17:02:00,4.99,2.42,1.85,14.9,17.0,11.23,20.78,1,1
5608,West,2026-06-02T18:13:00,9.62,2.42,1.85,28.3,29.1,17.49,32.35,0,0
5609,North,2026-07-23T18:17:00,3.28,1.76,1.45,8.9,10.9,8.92,12.94,1,1
5610,West,2026-07-19T21:19:00,8.03,1.11,1.07,24.7,28.2,15.35,16.42,1,1
5611,West,2026-07-30T08:35:00,8.99,1.56,1.34,24.5,26.8,16.64,22.29,1,1
5612,West,2026-07-10T10:39:00,3.25,1.42,1.25,8.6,8.5,8.89,11.11,1,0
5613,East,2026-07-16T01:49:00,6.4,1.23,1.14,17.2,18.1,13.13,14.97,1,0
5614,North,2026-06-23T07:29:00,3.76,1.59,1.36,10.1,11.9,9.58,13.02,0,0
5615,North,2026-07-15T19:09:00,6.9,1.78,1.47,15.6,14.4,13.82,20.32,0,0
5616,North,2026-06-21T17:35:00,10.8,1.68,1.41,26.6,27.7,19.08,26.9,1,1
5617,Downtown,2026-06-03T18:17:00,9.37,2.4,1.84,22.4,25.4,17.15,31.55,1,1
5618,North,2026-06-23T19:55:00,5.62,1.64,1.39,16.8,19.1,12.09,16.81,1,1
5619,South,2026-06-23T19:50:00,12.19,1.89,1.54,27.8,26.9,20.96,32.28,0,0
5620,South,2026-07-01T07:02:00,10.34,2.03,1.62,31.0,31.2,18.46,29.91,0,0
5621,West,2026-07-21T07:54:00,5.25,2.47,1.88,11.9,15.6,11.59,21.78,1,1
5622,West,2026-06-10T19:30:00,8.79,1.92,1.55,22.1,25.2,16.36,25.36,1,1
5623,North,2026-07-05T18:25:00,10.4,1.81,1.49,29.2,28.6,18.54,27.62,1,1
5624,South,2026-06-06T09:52:00,11.03,1.88,1.53,27.8,28.5,19.38,29.66,1,1
5625,Downtown,2026-06-25T21:15:00,6.21,1.03,1.02,16.1,15.2,12.88,13.14,1,1
5626,South,2026-06-25T09:54:00,0.8,1.8,1.48,2,2,5.58,8.26,1,1
5627,East,2026-06-10T22:14:00,6.09,0.71,1.0,14.9,15.5,12.72,12.72,1,1
5628,Downtown,2026-07-14T17:41:00,5.24,2.15,1.69,15.2,19.1,11.58,19.57,1,1
5629,Downtown,2026-06-09T08:28:00,5.92,2.78,2.07,14.4,14.3,12.5,25.87,1,1
5630,East,2026-06-13T01:02:00,4.94,1.1,1.06,16.3,15.3,11.17,11.84,1,1
5631,Downtown,2026-07-06T14:32:00,8.42,0.85,1.0,21.7,21.2,15.87,15.87,1,1
5632,East,2026-07-12T17:36:00,6.84,2.85,2.11,19.3,23.6,13.73,28.97,1,1
5633,North,2026-06-15T18:03:00,9.98,2.84,2.1,26.7,28.2,17.97,37.74,1,1
5634,South,2026-07-09T08:36:00,10.21,1.84,1.5,25.9,28.0,18.28,27.43,1,1
5635,East,2026-06-14T17:17:00,8.04,1.94,1.57,18.8,18.1,15.35,24.1,1,1
5636,South,2026-07-02T18:45:00,4.0,1.88,1.53,9.0,8.8,9.91,15.15,0,0
5637,North,2026-07-11T19:36:00,2.41,2.26,1.76,4.7,6.5,7.76,13.65,1,1
5638,North,2026-07-24T17:44:00,6.98,1.71,1.42,14.7,15.8,13.92,19.77,1,1
5639,West,2026-06-07T18:57:00,5.12,2.93,2.16,13.2,15.6,11.41,24.65,1,1
5640,West,2026-06-02T18:14:00,6.26,1.73,1.44,12.1,9.8,12.95,18.65,1,1
5641,South,2026-06-12T18:00:00,5.08,1.79,1.48,13.1,13.4,11.35,16.8,1,1
5642,East,2026-07-27T07:01:00,7.78,1.66,1.4,19.7,20.7,15.0,21.01,0,0
5643,South,2026-06-07T21:04:00,5.26,1.44,1.27,14.1,10.0,11.6,14.73,1,1
5644,East,2026-06-15T04:42:00,6.99,0.65,1.0,21.1,22.3,13.94,13.94,1,1
5645,East,2026-07-03T12:10:00,4.67,1.24,1.15,11.9,9.2,10.81,12.43,1,1
5646,East,2026-06-24T18:56:00,11.27,1.98,1.59,26.3,26.5,19.71,31.34,1,1
5647,East,2026-07-05T19:41:00,12.21,1.95,1.57,34.3,36.7,20.98,32.94,1,1
5648,West,2026-06-09T06:59:00,8.6,1.18,1.11,18.4,13.1,16.11,17.88,1,1
5649,North,2026-07-09T06:53:00,4.07,0.97,1.0,10.1,8.6,9.99,9.99,1,1
5650,West,2026-06-22T09:37:00,8.71,2.44,1.86,25.2,25.9,16.26,30.25,0,0
5651,Downtown,2026-06-26T00:59:00,4.79,0.8,1.0,12.7,14.0,10.97,10.97,1,1
5652,West,2026-07-14T15:37:00,7.12,0.99,1.0,20.0,19.8,14.12,14.12,1,1
5653,Downtown,2026-06-01T19:00:00,7.56,2.42,1.85,24.1,25.0,14.71,27.21,0,0
5654,East,2026-06-21T18:59:00,9.17,2.22,1.73,22.9,24.1,16.87,29.19,1,0
5655,South,2026-07-21T21:04:00,6.71,0.95,1.0,16.5,14.9,13.55,13.55,0,0
5656,East,2026-06-10T05:41:00,4.1,0.69,1.0,9.5,7.0,10.03,10.03,1,1
5657,West,2026-07-02T10:48:00,6.51,1.26,1.16,13.5,12.6,13.29,15.41,1,1
5658,East,2026-06-18T00:49:00,8.85,0.99,1.0,20.4,19.9,16.45,16.45,1,1
5659,South,2026-07-20T19:32:00,7.29,3.08,2.25,21.0,25.0,14.34,32.26,1,1
5660,West,2026-06-04T17:14:00,6.66,1.41,1.25,20.7,21.7,13.5,16.87,1,1
5661,North,2026-06-26T08:53:00,11.65,2.37,1.82,35.2,35.5,20.22,36.8,0,0
5662,Downtown,2026-06-16T19:26:00,9.43,2.95,2.17,26.3,31.0,17.23,37.38,1,1
5663,Downtown,2026-06-04T19:17:00,7.55,2.1,1.66,24.3,26.7,14.69,24.38,0,0
5664,West,2026-07-03T11:59:00,3.83,0.65,1.0,10.1,9.1,9.68,9.68,1,1
5665,North,2026-07-02T07:35:00,6.94,1.77,1.46,17.1,18.9,13.86,20.24,1,1
5666,East,2026-07-03T17:46:00,8.09,2.76,2.06,18.8,21.4,15.43,31.78,1,1
5667,Downtown,2026-06-19T21:47:00,1.34,0.65,1.0,2.8,2,6.31,6.31,1,1
5668,North,2026-06-16T18:07:00,1.83,2.65,1.99,4.9,4.0,6.97,13.87,1,1
5669,North,2026-07-14T19:27:00,5.97,2.14,1.69,15.8,18.6,12.56,21.22,1,1
5670,East,2026-07-27T09:29:00,6.17,2.14,1.68,15.2,13.9,12.83,21.55,1,1
5671,West,2026-07-07T08:54:00,10.36,1.82,1.49,26.1,25.9,18.48,27.54,1,1
5672,North,2026-07-02T04:41:00,6.75,1.53,1.32,18.3,20.5,13.61,17.97,1,1
5673,East,2026-07-13T01:23:00,2.12,1.0,1.0,3.8,2.3,7.36,7.36,1,1
5674,West,2026-06-21T19:46:00,8.48,2.36,1.81,23.5,24.6,15.95,28.88,1,1
5675,Downtown,2026-07-06T11:06:00,9.25,1.24,1.14,26.4,26.4,16.99,19.37,1,1
5676,North,2026-06-27T18:25:00,9.39,2.97,2.18,25.9,27.6,17.17,37.43,1,1
5677,East,2026-07-01T08:35:00,1.92,2.84,2.1,4.9,5.3,7.09,14.88,1,0
5678,Downtown,2026-06-24T17:05:00,4.76,2.77,2.06,12.7,14.7,10.93,22.52,1,1
5679,South,2026-07-12T18:53:00,7.21,1.8,1.48,17.3,17.7,14.23,21.07,0,0
5680,Downtown,2026-07-27T08:48:00,7.11,1.64,1.39,18.9,16.5,14.1,19.6,1,1
5681,East,2026-06-22T19:32:00,3.98,1.61,1.37,9.9,12.8,9.87,13.52,1,1
5682,South,2026-06-12T17:35:00,8.18,2.43,1.86,24.8,26.1,15.54,28.9,1,1
5683,Downtown,2026-07-30T08:48:00,3.05,2.99,2.19,7.5,6.8,8.61,18.86,0,0
5684,East,2026-07-25T18:49:00,9.64,2.4,1.84,21.6,28.6,17.51,32.23,0,0
5685,East,2026-07-05T18:23:00,0.91,2.71,2.02,2.2,5.3,5.73,11.57,1,1
5686,West,2026-07-07T09:31:00,11.6,2.07,1.64,30.7,33.1,20.17,33.07,1,1
5687,East,2026-06-29T19:08:00,10.49,1.69,1.41,32.6,31.3,18.66,26.31,1,1
5688,Downtown,2026-07-05T18:47:00,1.27,2.26,1.76,3.1,4.2,6.22,10.94,1,1
5689,North,2026-07-22T19:54:00,5.77,1.43,1.26,17.5,19.3,12.29,15.48,1,1
5690,South,2026-06-19T11:29:00,2.97,1.48,1.29,8.7,9.7,8.51,10.98,1,1
5691,Downtown,2026-07-18T19:10:00,4.47,2.06,1.63,9.3,7.5,10.54,17.18,1,1
5692,Downtown,2026-06-16T22:11:00,6.74,0.93,1.0,16.6,19.5,13.6,13.6,1,1
5693,West,2026-06-02T23:31:00,6.7,1.08,1.05,14.0,15.9,13.55,14.23,1,1
5694,North,2026-06-06T17:42:00,1.41,2.95,2.17,3.0,5.5,6.41,13.91,1,0
5695,South,2026-07-06T16:48:00,8.98,1.58,1.35,24.5,24.6,16.62,22.43,1,1
5696,Downtown,2026-06-09T19:31:00,3.77,2.24,1.74,10.0,10.2,9.59,16.68,0,0
5697,South,2026-07-14T08:24:00,3.19,3.18,2.31,9.4,10.7,8.81,20.35,1,1
5698,West,2026-06-06T09:34:00,0.8,2.27,1.76,2,2.2,5.58,9.82,1,1
5699,Downtown,2026-06-02T19:54:00,3.13,3.0,2.2,8.8,10.9,8.73,19.2,1,1
5700,South,2026-06-02T17:19:00,9.29,1.56,1.34,26.7,28.7,17.05,22.84,0,0
5701,West,2026-06-26T04:49:00,6.89,1.58,1.35,19.1,19.5,13.8,18.64,1,1
5702,Downtown,2026-06-07T17:43:00,10.17,2.44,1.86,25.1,27.1,18.22,33.9,0,0
5703,East,2026-06-02T07:55:00,10.68,2.99,2.19,24.9,24.9,18.91,41.42,1,1
5704,East,2026-07-12T00:41:00,0.8,1.1,1.06,2.0,2.4,5.58,5.91,1,1
5705,East,2026-07-08T09:46:00,7.57,2.42,1.85,21.9,23.0,14.73,27.24,0,0
5706,Downtown,2026-06-10T19:19:00,3.42,2.36,1.82,8.5,6.7,9.11,16.59,1,1
5707,West,2026-07-27T17:49:00,13.66,1.5,1.3,35.0,33.9,22.95,29.83,1,1
5708,South,2026-06-05T17:04:00,5.26,2.86,2.12,16.1,21.0,11.61,24.61,1,1
5709,East,2026-06-21T00:42:00,10.5,1.02,1.01,28.0,23.6,18.68,18.87,1,1
5710,West,2026-07-08T01:09:00,7.75,1.25,1.15,18.1,21.7,14.97,17.21,1,1
5711,North,2026-07-21T19:00:00,5.17,2.53,1.92,11.7,15.0,11.48,22.05,0,0
5712,Downtown,2026-06-12T17:36:00,14.59,2.67,2.0,36.6,36.9,24.2,48.4,0,0
5713,North,2026-06-05T08:23:00,4.75,2.23,1.74,13.8,12.3,10.91,18.99,1,1
5714,West,2026-06-19T08:25:00,3.19,1.92,1.55,7.4,8.6,8.8,13.65,1,1
5715,North,2026-07-20T01:15:00,11.21,1.01,1.01,33.4,29.2,19.64,19.84,1,1
5716,South,2026-06-27T07:16:00,8.92,2.96,2.18,17.2,18.9,16.55,36.07,1,0
5717,Downtown,2026-06-07T18:31:00,7.09,3.07,2.24,17.6,24.6,14.07,31.52,1,1
5718,South,2026-06-09T17:33:00,11.33,2.04,1.62,26.5,26.1,19.79,32.07,1,1
5719,North,2026-07-28T17:20:00,9.33,3.07,2.24,26.4,26.6,17.09,38.28,1,0
5720,North,2026-07-19T18:25:00,2.99,2.86,2.12,6.5,9.2,8.53,18.08,1,1
5721,South,2026-07-22T17:43:00,7.93,2.24,1.74,20.3,21.1,15.21,26.47,1,1
5722,North,2026-06-25T08:42:00,7.27,2.33,1.8,17.4,20.4,14.32,25.77,0,0
5723,West,2026-07-19T01:32:00,9.13,0.74,1.0,23.2,22.4,16.83,16.83,1,1
5724,West,2026-06-13T08:00:00,9.76,3.02,2.21,27.9,27.9,17.68,39.07,1,1
5725,East,2026-06-27T12:22:00,5.87,1.49,1.29,14.6,14.1,12.42,16.03,1,0
5726,Downtown,2026-07-18T19:26:00,9.51,2.39,1.84,24.0,27.6,17.34,31.9,1,1
5727,North,2026-07-20T22:49:00,8.13,1.17,1.1,19.4,18.7,15.47,17.02,0,0
5728,South,2026-07-28T17:09:00,4.37,2.88,2.13,11.7,12.9,10.4,22.15,0,0
5729,North,2026-06-08T18:42:00,8.01,2.07,1.64,19.4,21.0,15.32,25.12,1,0
5730,West,2026-07-27T07:45:00,10.6,2.57,1.94,24.7,25.6,18.81,36.49,1,1
5731,South,2026-07-08T04:22:00,3.98,0.98,1.0,10.8,9.2,9.87,9.87,1,1
5732,North,2026-07-09T18:42:00,6.66,2.04,1.63,15.4,14.5,13.49,21.99,1,1
5733,Downtown,2026-06-06T17:11:00,0.83,1.7,1.42,2.1,6.4,5.62,7.98,1,1
5734,West,2026-07-26T03:02:00,11.64,1.25,1.15,31.2,31.9,20.22,23.25,1,1
5735,Downtown,2026-06-13T06:53:00,6.85,1.2,1.12,18.1,17.3,13.75,15.4,0,0
5736,West,2026-07-13T11:02:00,0.8,1.49,1.29,2.5,6.3,5.58,7.2,1,1
5737,West,2026-06-23T16:25:00,6.84,0.86,1.0,19.3,18.0,13.74,13.74,1,1
5738,North,2026-06-13T04:14:00,7.95,0.69,1.0,17.6,16.8,15.23,15.23,1,1
5739,West,2026-06-02T07:02:00,4.2,2.86,2.12,14.1,15.2,10.16,21.55,1,1
5740,West,2026-07-02T08:10:00,7.4,1.67,1.4,17.3,18.6,14.49,20.29,0,0
5741,East,2026-06-17T07:25:00,10.49,1.7,1.42,24.7,25.7,18.66,26.5,1,1
5742,South,2026-07-20T06:17:00,7.02,0.84,1.0,17.2,12.8,13.97,13.97,1,1
5743,North,2026-07-03T14:51:00,5.54,0.82,1.0,14.8,12.7,11.97,11.97,1,1
5744,North,2026-06-16T17:23:00,7.31,2.06,1.64,17.7,17.6,14.36,23.56,0,0
5745,East,2026-07-11T09:35:00,9.29,2.38,1.83,26.8,26.9,17.04,31.19,1,1
5746,South,2026-06-26T05:20:00,10.64,0.83,1.0,30.9,31.7,18.87,18.87,1,1
5747,East,2026-07-24T11:00:00,8.45,1.27,1.16,23.8,24.4,15.91,18.45,1,1
5748,North,2026-06-10T17:03:00,6.44,2.12,1.67,16.4,18.1,13.2,22.05,1,0
5749,Downtown,2026-07-21T18:20:00,10.53,1.76,1.46,30.5,30.0,18.72,27.33,0,0
5750,Downtown,2026-07-25T08:58:00,8.1,1.43,1.26,21.7,18.6,15.44,19.45,0,0
5751,South,2026-06-10T16:47:00,13.28,0.89,1.0,38.2,39.0,22.43,22.43,1,1
5752,West,2026-07-10T17:16:00,4.67,1.58,1.35,14.7,13.0,10.8,14.58,1,1
5753,North,2026-07-08T07:17:00,12.04,2.13,1.68,33.2,34.8,20.75,34.86,1,1
5754,West,2026-06-05T17:23:00,9.78,2.08,1.65,26.8,26.8,17.71,29.22,1,1
5755,South,2026-07-16T17:41:00,3.1,2.91,2.15,7.8,9.7,8.69,18.68,1,0
5756,Downtown,2026-06-18T09:31:00,8.05,2.53,1.92,15.7,19.6,15.37,29.52,1,1
5757,Downtown,2026-06-29T19:10:00,8.46,2.82,2.09,19.8,21.8,15.92,33.27,0,0
5758,North,2026-07-11T01:31:00,2.41,0.72,1.0,6.8,5.8,7.76,7.76,1,1
5759,North,2026-07-25T17:47:00,3.34,2.33,1.8,8.7,9.0,9.01,16.22,1,1
5760,South,2026-07-12T18:15:00,4.86,2.64,1.98,13.3,12.9,11.06,21.89,1,1
5761,Downtown,2026-06-19T18:47:00,3.48,3.15,2.29,7.9,14.1,9.2,21.06,1,1
5762,West,2026-07-04T17:47:00,8.38,1.59,1.35,20.4,20.0,15.81,21.34,1,1
5763,East,2026-06-01T19:29:00,8.43,1.72,1.43,24.6,27.6,15.89,22.72,1,1
5764,East,2026-06-02T19:03:00,9.52,2.94,2.17,23.1,25.8,17.35,37.65,1,1
5765,West,2026-06-03T09:40:00,9.31,2.55,1.93,25.2,26.9,17.06,32.93,1,1
5766,North,2026-06-17T07:49:00,3.07,1.41,1.25,8.5,11.0,8.64,10.81,1,1
5767,West,2026-06-05T19:56:00,5.5,2.04,1.62,13.2,14.5,11.93,19.32,1,1
5768,North,2026-07-28T10:59:00,5.99,0.84,1.0,13.9,11.6,12.58,12.58,1,1
5769,Downtown,2026-06-28T08:21:00,3.62,1.54,1.32,9.4,9.4,9.39,12.39,1,1
5770,West,2026-06-23T07:17:00,6.52,3.15,2.29,17.2,17.2,13.3,30.46,1,1
5771,East,2026-07-22T01:15:00,3.84,1.45,1.27,9.9,11.7,9.68,12.3,1,0
5772,West,2026-07-27T19:45:00,6.85,2.24,1.74,19.2,19.1,13.75,23.93,1,1
5773,East,2026-06-15T08:40:00,9.35,1.6,1.36,21.9,20.2,17.12,23.29,1,1
5774,Downtown,2026-07-21T06:45:00,5.77,0.77,1.0,15.1,14.5,12.29,12.29,1,1
5775,North,2026-06-09T05:11:00,5.1,0.81,1.0,13.5,13.4,11.39,11.39,1,1
5776,Downtown,2026-07-30T17:42:00,9.3,1.9,1.54,22.4,23.6,17.05,26.25,1,1
5777,Downtown,2026-06-25T19:41:00,1.01,2.14,1.68,2.5,8.1,5.86,9.85,1,1
5778,Downtown,2026-06-22T15:34:00,4.04,1.08,1.05,11.0,11.8,9.95,10.45,1,1
5779,North,2026-06-03T15:05:00,6.9,0.72,1.0,15.8,16.5,13.81,13.81,1,1
5780,West,2026-07-03T18:52:00,5.83,1.88,1.53,12.8,15.5,12.37,18.93,0,0
5781,West,2026-07-29T19:28:00,4.83,3.2,2.32,10.7,15.1,11.02,25.56,1,0
5782,West,2026-07-29T19:33:00,0.8,2.05,1.63,2.1,8.0,5.58,9.1,1,1
5783,East,2026-07-17T07:44:00,5.82,1.59,1.35,14.9,15.5,12.36,16.69,1,1
5784,Downtown,2026-06-14T20:43:00,5.25,0.73,1.0,11.8,8.4,11.59,11.59,1,1
5785,East,2026-07-01T05:44:00,4.51,1.34,1.2,11.1,11.8,10.59,12.71,1,1
5786,Downtown,2026-06-16T01:18:00,4.14,0.69,1.0,11.2,13.0,10.09,10.09,1,1
5787,Downtown,2026-06-26T18:16:00,5.52,1.55,1.33,13.8,13.2,11.95,15.9,0,0
